Tarih,interest.rates
24-02-2017,9.80
03-03-2017,9.73
10-03-2017,9.87
17-03-2017,10.01
24-03-2017,10.19
31-03-2017,10.42
07-04-2017,10.37
14-04-2017,10.64
21-04-2017,10.78
28-04-2017,10.93
05-05-2017,10.96
12-05-2017,11.39
19-05-2017,11.38
26-05-2017,11.62
02-06-2017,11.43
09-06-2017,11.66
16-06-2017,11.89
23-06-2017,12.15
30-06-2017,12.05
07-07-2017,11.94
14-07-2017,11.94
21-07-2017,11.87
28-07-2017,11.81
04-08-2017,11.86
11-08-2017,11.93
18-08-2017,11.98
25-08-2017,11.89
01-09-2017,11.60
08-09-2017,11.74
15-09-2017,11.93
22-09-2017,11.97
29-09-2017,12.15
06-10-2017,11.74
13-10-2017,11.94
20-10-2017,12.02
27-10-2017,12.04
03-11-2017,11.96
10-11-2017,12.01
17-11-2017,12.14
24-11-2017,12.17
01-12-2017,12.07
08-12-2017,12.15
15-12-2017,12.22
22-12-2017,12.59
29-12-2017,12.75
05-01-2018,12.19
12-01-2018,12.32
19-01-2018,12.39
26-01-2018,12.32
02-02-2018,12.40
09-02-2018,12.47
16-02-2018,12.37
23-02-2018,12.51
02-03-2018,12.24
09-03-2018,12.48
16-03-2018,12.56
23-03-2018,12.67
30-03-2018,12.81
06-04-2018,12.52
13-04-2018,12.63
20-04-2018,12.72
27-04-2018,12.63
04-05-2018,12.66
11-05-2018,12.82
18-05-2018,12.94
25-05-2018,13.27
01-06-2018,13.64
08-06-2018,14.51
15-06-2018,15.21
22-06-2018,15.90
29-06-2018,16.21
06-07-2018,15.99
13-07-2018,16.33
20-07-2018,16.38
27-07-2018,16.76
03-08-2018,16.45
10-08-2018,16.83
17-08-2018,17.69
24-08-2018,16.64
31-08-2018,18.48
07-09-2018,19.41
14-09-2018,22.16
21-09-2018,24.99
28-09-2018,23.95
05-10-2018,23.94
12-10-2018,24.11
19-10-2018,24.09
26-10-2018,24.30
02-11-2018,23.28
09-11-2018,23.49
16-11-2018,22.98
23-11-2018,23.06
30-11-2018,23.02
07-12-2018,22.00
14-12-2018,22.23
21-12-2018,22.24
28-12-2018,22.51
04-01-2019,21.71
11-01-2019,21.41
18-01-2019,20.87
25-01-2019,20.61
01-02-2019,20.28
08-02-2019,20.17
15-02-2019,19.83
22-02-2019,19.88
01-03-2019,19.63
08-03-2019,19.43
15-03-2019,19.70
22-03-2019,19.62
29-03-2019,19.90
05-04-2019,19.81
12-04-2019,19.87
19-04-2019,21.14
26-04-2019,21.35
03-05-2019,21.55
10-05-2019,22.17
17-05-2019,22.34
24-05-2019,22.70
31-05-2019,22.72
07-06-2019,21.93
14-06-2019,22.93
21-06-2019,22.73
28-06-2019,22.89
05-07-2019,22.26
12-07-2019,21.85
19-07-2019,21.69
26-07-2019,20.09
02-08-2019,18.75
09-08-2019,18.31
16-08-2019,17.82
23-08-2019,17.51
30-08-2019,17.01
06-09-2019,16.62
13-09-2019,15.66
20-09-2019,14.71
27-09-2019,14.56
04-10-2019,13.83
11-10-2019,13.68
18-10-2019,13.63
25-10-2019,12.90
01-11-2019,12.25
08-11-2019,11.93
15-11-2019,11.73
22-11-2019,11.62
29-11-2019,11.35
06-12-2019,11.17
13-12-2019,10.77
20-12-2019,10.24
27-12-2019,10.10
